Date,Close,High,Low,Open,Volume,Return,High_Low,Open_Close_Diff,Abs_Return
2018-04-12,55.136,55.512,53.598,54.189,57478500,0.023,1.914,-0.947,0.023
2018-04-19,55.331,55.63,53.932,55.205,63063000,0.004,1.698,-0.125,0.004
2018-04-26,53.452,56.305,52.881,55.4,76044700,-0.034,3.424,1.949,0.034
2018-05-03,55.63,55.846,52.477,53.166,71774300,0.041,3.369,-2.464,0.041
2018-05-10,57.085,57.293,56.027,56.124,66479100,0.026,1.267,-0.96,0.026
2018-05-17,57.755,58.106,56.644,57.79,55971700,0.012,1.462,0.035,0.012
2018-05-24,57.298,57.41,54.507,57.192,59194800,-0.008,2.904,-0.105,0.008
2018-05-31,57.691,58.022,56.531,56.812,60326500,0.007,1.49,-0.879,0.007
2018-06-07,57.305,58.908,57.276,58.162,63085600,-0.007,1.631,0.858,0.007
2018-06-14,56.559,57.86,56.039,57.607,62144800,-0.013,1.821,1.048,0.013
2018-06-21,57.445,57.987,55.751,56.257,60668800,0.016,2.236,-1.188,0.016
2018-06-28,57.818,58.732,56.967,57.459,43909500,0.006,1.765,-0.359,0.006
2018-07-05,58.064,59.14,57.41,58.064,43042900,0.004,1.729,0.0,0.004
2018-07-12,57.804,58.879,57.291,58.359,42874300,-0.004,1.589,0.555,0.004
2018-07-19,58.767,58.872,57.073,57.79,46925900,0.017,1.8,-0.977,0.017
2018-07-26,56.517,59.336,56.398,58.936,63366800,-0.038,2.939,2.418,0.038
2018-08-02,56.756,57.361,55.856,56.166,44190300,0.004,1.505,-0.591,0.004
2018-08-09,54.092,56.883,53.789,56.756,57405000,-0.047,3.093,2.665,0.047
2018-08-16,56.795,56.859,54.834,54.891,49140800,0.05,2.024,-1.904,0.05
2018-08-23,57.434,57.562,56.042,56.511,37249200,0.011,1.52,-0.923,0.011
2018-08-30,57.789,57.839,56.539,57.143,40884300,0.006,1.3,-0.646,0.006
2018-09-06,59.046,59.508,56.695,57.612,64004500,0.022,2.813,-1.435,0.022
2018-09-13,60.112,60.211,58.251,59.061,48642100,0.018,1.96,-1.051,0.018
2018-09-20,60.929,62.051,60.034,60.275,73863300,0.014,2.017,-0.653,0.014
2018-09-27,61.191,61.717,60.367,61.149,45007000,0.004,1.35,-0.043,0.004
2018-10-04,60.034,61.71,60.019,60.73,59415700,-0.019,1.69,0.696,0.019
2018-10-11,57.889,59.785,56.83,59.622,68124700,-0.036,2.955,1.733,0.036
2018-10-18,55.133,58.578,55.083,57.675,70572200,-0.048,3.495,2.543,0.048
2018-10-25,56.596,57.072,54.138,55.751,80569900,0.027,2.933,-0.845,0.027
2018-11-01,58.975,59.053,56.326,56.702,71087700,0.042,2.728,-2.273,0.042
2018-11-08,54.969,59.487,54.515,59.046,77924500,-0.068,4.972,4.077,0.068
2018-11-15,55.648,56.94,54.465,55.01,67330700,0.012,2.475,-0.639,0.012
2018-11-22,56.287,56.287,53.596,54.565,46443100,0.011,2.691,-1.722,0.011
2018-11-29,56.99,58.798,56.1,56.122,62251100,0.012,2.698,-0.868,0.012
2018-12-06,54.544,57.657,53.668,55.964,87691200,-0.043,3.989,1.421,0.043
2018-12-13,50.784,55.405,50.44,54.551,82243900,-0.069,4.965,3.767,0.069
2018-12-20,49.248,50.698,46.386,50.289,115161500,-0.03,4.312,1.04,0.03
2018-12-27,50.002,50.131,47.412,48.603,74321800,0.015,2.719,-1.399,0.015
2019-01-03,51.961,52.09,49.048,50.224,65666400,0.039,3.042,-1.736,0.039
2019-01-10,51.401,51.932,50.992,51.709,56847500,-0.011,0.94,0.309,0.011
2019-01-17,51.157,52.585,50.87,51.078,54123700,-0.005,1.715,-0.079,0.005
2019-01-24,51.867,52.068,50.49,51.013,55985000,0.014,1.578,-0.854,0.014
2019-01-31,53.998,54.881,51.674,51.867,81982800,0.041,3.207,-2.131,0.041
2019-02-07,54.709,54.917,52.183,53.776,62627000,0.013,2.734,-0.933,0.013
2019-02-14,56.97,57.173,54.924,55.323,53287800,0.041,2.249,-1.647,0.041
2019-02-21,57.652,57.855,56.303,56.738,52448500,0.012,1.552,-0.914,0.012
2019-02-28,57.514,58.435,56.484,57.637,80486300,-0.002,1.951,0.123,0.002
2019-03-07,58.551,58.588,56.767,57.71,65394100,0.018,1.821,-0.842,0.018
2019-03-14,58.994,59.487,58.109,58.617,72203800,0.008,1.378,-0.377,0.008
2019-03-21,58.283,59.408,57.739,58.624,50666600,-0.012,1.669,0.341,0.012
2019-03-28,58.689,59.451,58.051,58.058,45326800,0.007,1.4,-0.631,0.007
2019-04-04,59.168,60.358,58.595,58.849,47413800,0.008,1.763,-0.319,0.008
2019-04-11,59.074,60.075,58.414,59.154,49607000,-0.002,1.661,0.08,0.002
2019-04-18,59.313,60.568,58.813,59.168,42543600,0.004,1.756,-0.145,0.004
2019-04-25,57.072,60.097,57.035,59.233,66843500,-0.038,3.061,2.162,0.038
2019-05-02,55.744,56.948,54.968,56.789,65759900,-0.023,1.98,1.045,0.023
2019-05-09,55.403,55.773,54.532,55.389,55920100,-0.006,1.241,-0.015,0.006
2019-05-16,55.444,56.464,55.319,56.06,40887100,0.001,1.145,0.616,0.001
2019-05-23,52.949,54.886,52.553,54.864,50271700,-0.045,2.333,1.915,0.045
2019-05-30,53.551,54.05,51.826,52.846,56217200,0.011,2.223,-0.704,0.011
2019-06-06,54.321,55.627,53.998,54.086,45930700,0.014,1.629,-0.235,0.014
2019-06-13,55.268,55.928,54.328,54.813,46766900,0.017,1.6,-0.455,0.017
2019-06-20,56.207,57.058,55.825,55.943,70455100,0.017,1.233,-0.264,0.017
2019-06-27,56.089,57.183,55.334,56.199,50088500,-0.002,1.849,0.11,0.002
2019-07-04,56.875,56.963,55.466,55.906,30697300,0.014,1.497,-0.969,0.014
2019-07-11,55.385,57.146,55.29,56.801,37276100,-0.026,1.856,1.416,0.026
2019-07-18,55.297,55.803,54.431,55.055,47847800,-0.002,1.372,-0.242,0.002
2019-07-25,54.563,55.605,54.49,55.605,43918900,-0.013,1.115,1.042,0.013
2019-08-01,51.731,54.497,50.924,54.108,85103900,-0.052,3.573,2.377,0.052
2019-08-08,49.64,53.132,49.64,51.988,68051000,-0.04,3.493,2.348,0.04
2019-08-15,51.795,51.988,49.425,50.116,55433900,0.043,2.563,-1.679,0.043
2019-08-22,50.279,51.973,49.752,51.936,50826100,-0.029,2.221,1.657,0.029
2019-08-29,51.475,51.713,50.242,50.74,34993800,0.024,1.471,-0.735,0.024
2019-09-05,53.436,54.12,51.78,51.884,57496700,0.038,2.34,-1.553,0.038
2019-09-12,54.098,55.851,52.523,52.731,58012500,0.012,3.328,-1.367,0.012
2019-09-19,53.006,54.372,52.612,54.209,56624300,-0.02,1.761,1.203,0.02
2019-09-26,49.885,53.243,49.781,52.909,51195900,-0.059,3.462,3.024,0.059
2019-10-03,50.101,51.312,49.261,49.774,50645800,0.004,2.05,-0.327,0.004
2019-10-10,50.688,52.003,50.056,50.093,39848100,0.012,1.946,-0.594,0.012
2019-10-17,51.817,51.824,50.227,50.873,51607000,0.022,1.597,-0.943,0.022
2019-10-24,50.309,52.04,49.974,51.973,54555400,-0.029,2.065,1.664,0.029
2019-10-31,53.11,54.32,49.878,50.116,75062900,0.056,4.443,-2.994,0.056
2019-11-07,51.111,54.254,50.963,53.511,59546100,-0.038,3.291,2.4,0.038
2019-11-14,51.149,52.103,50.615,51.773,62164400,0.001,1.489,0.624,0.001
2019-11-21,51.652,52.765,51.066,51.141,60745400,0.01,1.699,-0.511,0.01
2019-11-28,51.615,51.788,50.765,51.374,42393200,-0.001,1.023,-0.241,0.001
2019-12-05,51.848,52.743,51.284,51.795,67247700,0.005,1.459,-0.053,0.005
2019-12-12,52.532,53.036,51.803,51.848,72654700,0.013,1.233,-0.684,0.013
2019-12-19,52.645,53.006,52.058,52.622,66517100,0.002,0.947,-0.023,0.002
2019-12-26,52.464,53.006,51.885,52.773,45197500,-0.003,1.12,0.308,0.003
2020-01-02,52.051,53.66,52.006,52.81,82450600,-0.008,1.654,0.759,0.008
2020-01-09,51.946,52.6,51.6,51.983,64412600,-0.002,1.0,0.038,0.002
2020-01-16,50.517,52.314,50.374,52.103,66500100,-0.028,1.94,1.586,0.028
2020-01-23,48.201,50.322,48.043,50.156,92943000,-0.046,2.278,1.955,0.046
2020-01-30,47.164,48.78,45.029,47.953,144238200,-0.022,3.752,0.789,0.022
2020-02-06,46.066,47.374,44.826,47.314,84873200,-0.023,2.549,1.248,0.023
